gene,mean_n_neighbors,mean_neighbor_popularity,specificity,any_neighbor
ADPRS,337.64,5452.487432153966,0.666616482289577,True
COL8A2,183.96,5526.626876710137,0.6620833459669742,True
TRAPPC3,324.02,5772.856070880627,0.6470280604781029,True
MAP7D1,352.4,5346.206632099113,0.6731148497646522,True
THRAP3,380.44,5438.926042133492,0.6674456715295939,True
SH3D21,142.44,5791.992862208225,0.64585797235046,True
STK40,301.4,5516.569904348434,0.6626982632620951,True
LSM10,352.02,5262.28390234432,0.6782461692238264,True
ENSG00000297367,273.48,5694.715854710458,0.6518058175047106,True
MRPS15,310.28,5471.419576199143,0.6654589069887409,True
CSF3R,196.62,5818.056666876854,0.6442643432053283,True
LITATS1,292.22,5471.719953729091,0.6654405408909146,True
ZC3H12A,208.68,5829.711176354156,0.643551747089321,True
MEAF6,243.98,6177.842608456712,0.6222658142184829,True
SNIP1,347.52,5615.106752695388,0.6566733871785149,True
GNL2,282.1,5882.43380522841,0.6403281072926683,True
AIRIM,236.02,5803.932009325475,0.6451279725267212,True
CDCA8,173.72,5729.294449653218,0.6496915652917629,True
MANEAL,301.68,5572.647802712029,0.6592694709439297,True
YRDC,327.58,5572.343337178239,0.6592880869961333,True
C1orf122,307.82,5254.791772014586,0.6787042634047945,True
MTF1,275.04,5411.519735462632,0.6691213857864486,True
INPP5B,223.24,6140.3094923459985,0.624560715845552,True
SF3A3,269.5,5755.99178342439,0.6480592000351948,True
FHL3,223.26,5369.255616568557,0.6717055569202961,True
UTP11,305.48,5619.4496695985235,0.6564078465546608,True
RRAGC,299.86,5449.443883132803,0.6668025751676672,True
MYCBP,221.12,5890.0451704940815,0.6398627226845564,True
AKIRIN1,291.32,5562.070338088407,0.659916212895848,True
NDUFS5,246.82,5492.1786150153675,0.6641896291644532,True
MACF1,215.72,5545.760091300468,0.6609134765331417,True
BMP8A,194.92,5861.40247541931,0.6416140339089386,True
