gene	n_merged_intervals	total_band_width	frac_holdouts_outside
ENSG00000260920	1	208.00737271190042	0.0
ZFP69	1	546.1993329997415	0.0
EXO5	1	386.9768851670682	0.0
ZNF684	1	269.6888759169076	0.0
RIMS3	1	1034.1894376330129	0.0
NFYC-AS1	1	246.04632395155215	0.0
NFYC	1	8678.473094643032	0.0
KCNQ4	1	292.9868865642153	0.0
CITED4	1	2814.2797345510658	0.0
CTPS1	1	3758.1244644268554	0.0
SCMH1	1	2281.171787649729	0.0
HIVEP3	1	2575.6989468998345	0.0
FOXJ3	1	7678.13545078836	0.0
PPCS	1	2791.2560370133365	0.0
CCDC30	1	489.00869352256154	0.0
ENSG00000285728	1	334.84056367755034	0.0
PPIH	1	1730.0425378192479	0.0
YBX1	1	84915.24097197721	0.0
P3H1	1	3711.068296314976	0.0
C1orf50	1	742.4285702641051	0.0
SVBP	1	2002.385091093825	0.0
ERMAP	1	15462.877963437104	0.0
ZNF691	1	1115.7318232789332	0.0
SLC2A1	1	101560.51628338803	0.0
ATP6V0CP4	2	5247.697532024579	0.0
