gene,mean_train,max_train,uncov_k0.1,hin_rate_k0.1,n_intervals_k0.1
ATP6V0D1,15260.342366470146,42494.27698432307,0.2231376662150929,0.98,11
ATP5F1C,1651.4736773311854,5663.907943616131,0.223136772391184,1.0,15
CLDND1,1882.2738601986407,8387.182653294594,0.22313568514761006,0.94,16
LINC01215,196.33447370416542,1135.565707586609,0.22313002039566798,0.9,15
OSBPL2,5202.851271918176,12576.331763211372,0.22312651616064294,0.98,15
LIG1,1048.0954374489952,4941.752095775227,0.2230692311200415,0.98,14
MBD1,2574.0633424032467,5543.904430547502,0.22304554049948555,1.0,10
MRPL43,700.3106035322705,1875.0476373311685,0.22302851329408768,1.0,10
ENPP3,14.690358037533645,143.8775833606041,0.22301172081665477,0.86,10
SPDYE18,48.490934490341395,202.53707472030254,0.22300516086773436,0.98,8
TOMM7,1397.039421186045,7500.891339345666,0.2229990721254489,1.0,22
PPARGC1B,120.42763286015906,657.3088431114238,0.2229889109249028,0.96,16
TSC22D3,50591.7410323594,171727.24503628138,0.22295052863402098,0.96,15
TTC32,97.14708375078438,421.42758582911927,0.22293899242447413,0.98,9
OTULIN,1864.197203741146,6005.092747875983,0.22293564269446386,0.96,13
ANAPC15,995.9004733925011,3657.17120639572,0.2229293143630402,1.0,13
NFU1,239.7333854891688,890.5242117367098,0.2229187066707602,0.98,15
SLC25A37,96495.01262793886,348742.39531261765,0.22289431008731098,1.0,18
NFYA,1633.564121275342,6326.448113315314,0.22287028999359781,0.94,13
OGA,10549.356180230907,36803.51865836376,0.22284922048871725,0.92,18
TIA1,1502.6710526219347,5564.361096745218,0.22276662620786192,0.98,17
GBGT1,1487.6674129116477,4440.3872454005,0.2227571443680051,1.0,8
