holdout,K,set_size,tuple_first5,genes_first10
29,1,73,"(405,)",ENSG00000289457;PKLR;FAM177B;TTC7A;ALMS1-IT1;REG1A;FIGN;MYL1;ENSG00000299450;ZNF385D
29,1,61,"(200,)",KDM1A;HENMT1;SLAMF9;DARS2;RNASEL;CFH;IPO9;IGKV1D-39;MGAT5;ENSG00000309937
29,1,56,"(525,)",GFOD3P;EFHD2;MICOS10;C2CD4D-AS1;NDUFS2;ZBTB37;PTPRC;TAF1B;PPM1G;ANTXR1
29,1,53,"(740,)",PEX14;CCDC163;EPS15;BCAS2;ANP32E;NCF2;TRMT1L;CDK18;MEMO1;IGKV3-11
30,1,77,"(208,)",ENSG00000287586;CNR2;PNRC2;RIMS3;BSND;LINC02777;GNAI3;FCGR1BP;FLG;ENSG00000238279
30,1,73,"(113,)",ERRFI1;FABP3;GLMN;CSDE1;NBPF9;THBS3;ENSG00000287218;NUAK2;TMEM63A;GCC2
30,1,62,"(547,)",ALDH4A1;WASF2;GNL2;EEIG2;KCNC4;ENSG00000289457;ACKR1;ENSG00000272750;TRIB2;DHX57
30,1,62,"(325,)",NIT1;DISC1;MTR;CYP1B1-AS1;ZC3H15;CD28;ENSG00000269982;CCR4;SLC22A14;TTC21A
30,1,61,"(184,)",TNFRSF14;ENSG00000288398;PADI2;SRSF11;ENSG00000296642;ENSA;TLR5;CCDC88A;REV1;MERTK
31,1,247,"(586,)",LZIC;CNKSR1;FAM76A;MECR;SFPQ;CYB5RL;LRRC40;USP33;TRMT13;EXTL2
31,1,196,"(382,)",DFFB;SLC45A1;ENSG00000288398;CDC42-AS1;SRSF10;S100PBP;ZMYM6;ZFP69;LINC02918;GNG12-AS1
31,1,148,"(79,)",ENSG00000269925;LINC00339;ZMYM1;AGO3;ZNF684;AHCYL1;CEPT1;HMGCS2;VAMP4;RO60
31,1,138,"(499,)",LRRC47;DRAXIN;LINC01772;ZNF436;TYW3;LRRC8C-DT;KCNA2;NBPF11;FCRL2;GPATCH2
31,1,104,"(87,)",SLC66A1;ODF2L;STRIP1;ENSG00000232450;DUSP12;TSEN15;ENSG00000308132;DISP1;LGALS8;AAK1
32,1,87,"(140,)",RNF207;CDC42-AS1;ENSG00000233478;COL16A1;LRP8;CTSK;ENSG00000287338;ENSG00000289341;ENSG00000225402;LINC01291
32,1,77,"(319,)",MMP23B;MORN1;SRRM1;PRKACB;HMGCS2;PDE4DIPP2;ZNF687;PYGO2;ENAH;TAF5L
32,1,76,"(3,)",ANGPTL3;ELAPOR1;SLAMF9;SLAMF7;FMO3;NRIR;ENSG00000298780;ENSG00000300661;MAP4K3;IGKV3D-11
32,1,59,"(351,)",LINC01786;ENSG00000279179;SSBP3;SSBP3-AS1;C8B;LBR;EDARADD;OTOF;ENSG00000276517;PPM1B
32,1,58,"(516,)",TNFRSF4;ENSG00000288803;TSPAN2;DUSP23;LINC02818;ZNF124;PPM1G;PEX13;LGALSL;R3HDM1
33,1,79,"(476,)",NOC2L;DYNLT4;ITGB3BP;JAK1;ENSG00000287064;ENSG00000298116;ENSG00000302070;ENSG00000299361;PRKD3;MSH6
33,1,68,"(436,)",ENSG00000290385;SYF2;NRDC;SV2A;DISC1;CHRM3-AS2;ZBTB18;TTC7A;STK17B;WDR6
33,1,66,"(721,)",PRDM2;MARCKSL1;HECTD3;RNF11;NOL10;FOXN2;SANBR;ALMS1-IT1;TSGA10;RPS15P4
33,1,65,"(2,)",LRRC8D;BCAR3;S100A16;ENSG00000270361;ZNF281;LGALS8;CEP170;TBC1D8;SDR42E1P5;FIGN
33,1,64,"(375,)",MTATP6P1;ENSG00000284719;CKS1B;PIGC;TPR;CYB5R1;DISP1;LBH;IGKV1D-39;IMP4
34,1,84,"(375,)",ENSG00000250575;ENSG00000238260;KLHL21;ENSG00000293791;IQCC;FAM167B;EFCAB7;ADORA3;FMO3;RGS16
