n_train,holdout,set_size,genes_first10
500,21,4,CD2;CD5;SBK1;IKZF3
500,21,4,ITPR3;EVL;ENSG00000290927;HAUS5
500,31,5,ZBTB41;STYX;TMEM170A;ZNF780B;PCMTD2
500,31,5,MTREX;CASP8AP2;THAP12;ATP6V0A2;ICE2
500,31,4,MAN1A2;APPL1;TRUB1;GTF2H3
500,36,3,CENPF;CDCA2;DLGAP5
500,36,3,HJURP;KIF20A;TOP2A
500,37,3,PPAT;TOGARAM1;TCF12
500,39,4,FABP3;TNNC1;ENO3;TNNT1
500,39,4,LDB3;TNNI2;MYL11;TNNC2
500,39,3,TMOD4;CASQ1;MYOZ1
500,42,3,TNNT3;ENO3;TNNC2
500,44,3,HNRNPA0;BCL9L;ZBTB4
600,1,5,ADI1;BDH1;ECI2;ECHS1;PEBP1
600,1,4,AGMAT;HGD;BPHL;FUOM
600,3,3,ATP11A;ZNF839;ARHGEF6
600,10,6,MYSM1;CCNT2;GPD2;GLS;LMBRD2;FAM91A1
600,10,6,SRSF11;ODR4;CAPN7;CHD1;FAM76B;ATP7A
600,10,6,RYK;OTUD4;WASL;WWP1;NAA16;PRELID3B
600,16,3,NRAP;RPL3L;SCN4A
600,20,3,PRKACB;PAQR3;ANKIB1
600,20,3,UHMK1;PLEKHA3;SLC25A30
600,20,3,GCFC2;LANCL1;ZNF527
600,21,10,LCK;CD2;CD8A;AGFG2;EEIG1;KLRK1;TRAC;APBA2;TMIGD2;NFATC2
600,21,4,CD5;CD3G;NLRC3;SBK1
600,21,3,TRBC1;ENSG00000284691;WNT10B
600,31,10,RRP15;AASDH;MTREX;NAPEPLD;FNTA;TGS1;DIS3;NAA30;CMTR2;ZNF180
600,31,9,MBLAC2;SMAD5;PURA;SLC26A2;TMTC3;SYNJ2BP;ZSCAN29;SLFN5;ZNF570
600,31,7,ZNF644;ZBTB41;GPATCH11;SMARCA5;NIPBL-DT;CASP8AP2;ZNF136
600,37,3,IQCB1;UBA6;SEC63
600,37,3,PANK3;CNOT6;VPS26A
600,44,3,HNRNPA0;BCL9L;ZBTB4
700,1,5,ADI1;BDH1;ECI2;ECHS1;PEBP1
700,1,4,AGMAT;HGD;BPHL;FUOM
700,3,3,ZC3HAV1;FKBP4;ENSG00000289070
700,10,8,ZRANB2;CAPN7;VPS26A;FAM76B;PRPF39;BTBD1;ATP7A;INTS6L
700,10,7,MYSM1;CCNT2;CLK1;CHD1;STK38L;PAN3;SMCHD1
700,10,5,REV1;ABCE1;ZFAND1;FNBP4;CTDSPL2
700,20,4,KIF3A;ZMYND11;ATAD1;ENSG00000273784
700,20,3,CCNL2;MCPH1;URI1
700,20,3,TTC13;SYTL2;ZNF831
700,21,10,LCK;CD2;CD8A;AGFG2;EEIG1;KLRK1;TRAC;APBA2;TMIGD2;NFATC2
700,21,4,CD5;CD3G;NLRC3;SBK1
700,21,3,TRBC1;ENSG00000284691;WNT10B
700,31,5,RRP15;MTREX;NAPEPLD;CMTR2;ZNF180
700,31,5,FAM135A;KRIT1;POMK;PUS7L;ZSCAN29
700,31,4,SMAD5;SOCS7;ZNF136;AMER1
700,37,3,TMEM245;PLEKHA1;PRNP
700,39,3,MYOZ1;PYGM;MYBPC2
753,1,4,ADI1;BDH1;ECI2;PEBP1
753,1,3,AGMAT;BPHL;FUOM
753,3,3,ZC3HAV1;FKBP4;ENSG00000289070
