geneid,chrm_probe,s1,s2,log2FC,mean_expr
ITGAE,17,3617919,3704537,0.03413312528039114,3661228.0
RGS11,16,318310,325914,0.03405873896837974,322112.0
LUZP2,11,24518556,25104186,0.034053929986587406,24811371.0
TMEM195,7,15239943,15601640,0.0338401799468393,15420791.5
PRKCQ,10,6469105,6622238,0.03375272694935916,6545671.5
ADAMTSL1,9,18474104,18910947,0.0337172139722135,18692525.5
MUC6,11,1012824,1036706,0.03362328813399529,1024765.0
EMILIN2,18,2847028,2914090,0.033588741446699544,2880559.0
TALDO1,11,747432,765024,0.0335626322128455,756228.0
DECR2,16,451858,462487,0.03354327487436137,457172.5
RAD21L1,20,1206764,1235145,0.03353682566430649,1220954.5
UBE2G1,17,4172512,4269969,0.03330938928290905,4221240.5
AFAP1,4,7760440,7941653,0.03330086896074036,7851046.5
PLXDC2,10,20105372,20569115,0.0328986907807618,20337243.5
VPS13D,1,12290113,12572098,0.03272724006338379,12431105.5
LOC728613,5,1597672,1634120,0.032542654894225365,1615896.0
TP73,1,3569129,3650467,0.03250898304369443,3609798.0
PIGQ,16,620004,634109,0.03245327842772738,627056.5
SCRT2,20,642240,656823,0.03239207522895171,649531.5
ATHL1,11,289138,295688,0.03231735710381045,292413.0
INTS1,7,1509913,1544018,0.03222412539538766,1526965.5
CACNA1A,19,13317256,13617274,0.03214107325654325,13467265.0
NFIB,9,14081842,14398982,0.032130754711616305,14240412.0
SSU72,1,1477053,1510262,0.03207723408954166,1493657.5
CELF5,19,3224701,3297073,0.03202042254417492,3260887.0
STK35,20,2082528,2129198,0.03197420799772388,2105863.0
KCNQ1OT1,11,2661768,2721228,0.03187299575987623,2691498.0
PFKP,10,3109752,3178996,0.03177165981141172,3144374.0
NRXN1,2,50145643,51259674,0.03169994784955321,50702658.5
ELFN1,7,1748798,1787590,0.03165220515517575,1768194.0
BET1L,11,202924,207422,0.03162926205603611,205173.0
PKD1,16,2138711,2185899,0.03148518090668162,2162305.0
PRPF8,17,1553923,1588176,0.031455762183998814,1571049.5
TGM6,20,2361554,2413399,0.031329913620076866,2387476.5
NPHP4,1,5922870,6052531,0.031242137226964672,5987700.5
SAMD11,1,861121,879961,0.031223577381805256,870541.0
C10orf108,10,695888,711109,0.0312155416051354,703498.5
SPON1,11,13983914,14289655,0.03120286565540553,14136784.5
TNRC18,7,5346423,5463177,0.0311661738112754,5404800.0
DAB1,1,57463579,58716211,0.031111021542759687,58089895.0
SLC2A9,4,9827848,10041872,0.031080787714536484,9934860.0
CACNB2,10,18429606,18830688,0.031060481272181306,18630147.0
GET4,7,916191,936071,0.03096953648746137,926131.0
TTLL10,1,1109286,1133313,0.0309149600464238,1121299.5
SLC1A1,9,4490427,4587469,0.030845763062053777,4538948.0
CLEC16A,16,11038345,11276046,0.03073738334518694,11157195.5
CNTLN,9,17135038,17503917,0.030728409225748265,17319477.5
RNF24,20,3912069,3996216,0.03070274039920662,3954142.5
IQCE,7,2598632,2654368,0.03061604335607626,2626500.0
XYLT1,16,17196181,17564738,0.0305938546280089,17380459.5
BSG,19,571325,583493,0.03040363512076638,577409.0
TEAD1,11,12695969,12966284,0.030394564667222568,12831126.5
ASAP2,2,9346894,9545812,0.030380887406256107,9446353.0
PIK3C2G,12,18414474,18801352,0.029996219838000826,18607913.0
LSP1,11,1874200,1913493,0.029933693127262018,1893846.5
MYO1C,17,1367480,1396001,0.02978022032326777,1381740.5
ETV6,12,11802788,12048325,0.029704902834065905,11925556.5
ISPD,7,16127152,16460947,0.02955564876252126,16294049.5
CSNK1G2,19,1941161,1981336,0.02955376158021039,1961248.5
GABRG3,15,27216429,27778373,0.029484314169444303,27497401.0
FAM101B,17,289771,295731,0.02937216294225209,292751.0
NBEA,13,35516424,36246873,0.029370209003705128,35881648.5
PARD3,10,34398488,35104253,0.02930067564706107,34751370.5
CLPTM1L,5,1318000,1345002,0.029257925730629353,1331501.0
ACOT7,1,6324332,6453826,0.029241572712749075,6389079.0
TRPV1+SHPK,17,3468740,3539616,0.029181140535136763,3504178.0
RREB1,6,7107830,7252213,0.029012117684981575,7180021.5
C16orf73,16,1883984,1922179,0.028955963224294834,1903081.5
IDI2-AS1,10,1068577,1090141,0.02882384997138132,1079359.0
KCNH8,3,19190017,19577135,0.028813659277897585,19383576.0
