gene,train_std,hdr90_coverage
PINK1-AS,0.40931298348805917,0.88
DDOST,0.5756935123021252,0.9
HP1BP3,0.7759114389922224,0.88
EIF4G3,0.6429636565738773,0.92
ECE1,0.7778133699742802,0.92
ECE1-AS1,0.414299862120693,0.88
NBPF3,0.7363332892602923,0.88
ALPL,1.8043631264546127,0.84
LINC02596,0.609051104555535,0.86
RAP1GAP,1.9255540402050786,0.86
USP48,0.543450335296067,0.9
HSPG2,0.803447351234031,0.9
ENSG00000305448,0.6021096088092153,0.9
CELA3B,0.8068716720435054,0.92
CELA3A,1.0940224121449889,0.94
LINC00339,0.37662796734470444,0.78
CDC42-AS1,0.3727236431407358,0.88
CDC42,0.4429705065810386,0.92
WNT4,0.3891671927491459,0.92
ZBTB40,0.8328378042427831,0.82
C1QA,1.55042086405823,0.96
C1QC,1.731924460069664,0.96
C1QB,1.6774383517594258,0.98
EPHB2,0.7099263834178832,0.96
KDM1A,0.6942966750535787,0.9
LUZP1,0.8506150098424691,0.9
LINC01355,0.6219863737211954,0.8
HNRNPR,0.7772410967356502,0.94
ZNF436,0.5918486090899717,0.84
TCEA3,1.0047824393082028,0.88
ASAP3,0.5328099096396687,0.9
E2F2,0.9000756905705417,0.86
ID3,1.045336963877441,0.88
MDS2,0.530853194205358,0.92
RPL11,0.9497916815838195,0.94
ELOA-AS1,0.2885287697238845,0.84
